"age","newspapers","tv","radio","websites","socmed","doctor","healthprof","gov","famfriend","vacdistrust"
37,3,3,3,3,3,2,2,3,3,3
25,4,3,4,3,3,1,2,2,3,2
36,1,3,3,3,1,1,1,2,2,3
50,2,4,2,2,1,1,1,2,1,1
56,2,4,4,2,1,3,3,4,2,1
47,1,3,2,2,4,1,1,2,2,2
63,1,3,1,2,1,1,1,1,1,2
43,2,2,2,3,1,1,1,3,2,1
58,1,1,4,4,1,1,2,1,1,2
56,1,4,4,3,1,1,1,3,2,1
35,1,2,2,1,1,1,2,2,2,3
48,1,3,2,2,3,1,1,4,2,2
49,1,3,3,2,2,1,1,1,2,3
47,1,3,3,3,2,1,1,3,1,4
58,2,4,2,2,2,2,2,4,2,4
40,2,4,2,4,4,1,1,2,2,4
56,2,4,3,3,2,2,2,2,3,3
45,3,3,1,3,2,1,1,3,3,1
60,3,4,3,3,1,1,1,3,2,2
48,3,1,3,3,1,1,3,3,3,2
34,2,2,2,2,2,1,1,2,1,1
46,3,3,2,1,1,2,1,1,2,2
44,1,4,3,4,3,1,1,2,2,3
48,2,2,1,2,2,1,1,1,1,2
32,4,4,3,4,3,2,3,3,2,3
25,1,3,3,3,3,1,1,1,3,1
38,2,3,1,4,1,1,1,1,1,1
61,1,4,2,4,1,1,1,1,1,3
34,1,2,2,2,1,1,1,1,1,2
45,2,4,3,4,3,1,1,2,2,2
56,1,3,3,3,1,1,1,1,1,2
42,1,4,2,1,2,1,1,1,2,3
54,1,2,1,2,1,1,2,3,2,3
56,4,4,3,3,1,1,1,4,1,1
47,1,2,2,2,1,1,1,2,1,2
29,2,4,1,2,1,1,1,2,1,2
73,4,4,3,2,1,1,2,2,2,1
76,2,1,3,3,1,1,1,2,3,3
53,1,3,3,3,2,2,2,2,3,2
71,2,4,3,3,1,1,1,2,1,1
64,1,3,3,3,1,1,1,3,3,3
55,1,3,1,4,2,1,1,1,2,1
55,3,3,4,2,1,1,1,2,2,2
33,3,2,2,4,3,4,3,2,4,4
58,1,1,2,4,1,1,2,4,2,2
49,2,4,4,2,2,1,2,2,3,2
46,3,4,3,4,2,2,2,3,2,1
69,1,4,2,2,1,1,2,2,1,3
54,1,3,3,3,3,3,3,4,4,2
41,4,3,1,1,2,1,1,3,1,2
64,4,4,4,4,1,2,2,2,3,2
44,1,4,1,4,2,1,1,3,1,2
47,1,2,2,1,1,2,3,3,2,1
74,2,4,1,1,2,1,1,2,1,2
47,3,4,4,4,3,1,1,2,1,2
45,1,3,1,3,1,1,1,2,1,2
25,2,2,1,2,1,1,1,2,1,4
46,1,3,2,4,2,1,1,1,1,1
72,4,4,2,4,2,1,1,1,1,2
46,3,3,3,2,2,1,1,4,2,2
35,1,4,3,2,3,1,1,2,1,1
74,1,4,3,3,1,1,2,3,1,2
33,2,4,1,4,2,1,1,4,2,1
38,3,3,3,3,3,3,3,3,3,2
69,1,4,1,4,1,1,1,4,2,1
61,1,4,2,1,1,1,1,1,1,3
36,3,4,2,3,1,1,1,1,1,3
39,4,2,3,3,2,1,2,3,3,1
69,3,3,3,2,2,1,1,2,2,1
47,1,2,3,3,2,1,1,3,3,4
44,1,4,1,2,1,2,1,1,3,1
31,3,4,1,3,3,1,1,1,2,1
35,2,3,4,3,2,1,2,3,4,3
29,1,2,3,3,2,1,1,3,3,2
34,1,3,3,3,4,3,3,3,3,1
52,4,3,4,2,2,1,1,1,1,1
49,2,2,2,2,2,2,2,2,2,3
48,4,4,2,1,1,1,1,3,2,2
68,1,4,1,4,1,1,1,1,1,1
71,3,4,1,1,1,2,2,2,2,1
44,3,4,2,3,2,1,1,2,3,2
60,1,3,1,2,1,1,1,2,1,2
39,2,2,2,2,2,2,2,2,2,3
50,2,3,3,1,1,1,1,2,2,4
66,4,4,1,4,1,1,1,1,1,1
67,1,1,1,3,1,1,1,3,1,3
33,1,2,1,1,1,1,1,1,2,5
33,2,2,2,2,2,1,1,2,2,3
58,1,4,1,2,2,1,1,4,2,2
64,2,2,2,2,1,1,1,2,1,1
31,4,1,1,1,1,1,1,3,2,2
56,2,4,1,2,1,1,1,1,2,2
59,3,4,4,3,2,2,3,3,2,1
55,4,4,3,3,1,1,1,3,2,2
54,4,4,4,4,3,2,3,4,3,1
60,4,4,3,4,4,1,1,3,3,2
53,2,4,2,3,3,1,1,3,2,2
29,3,2,3,3,3,3,2,3,3,3
60,1,4,1,3,2,1,1,2,2,1
36,1,2,1,3,4,1,1,2,3,1
73,2,4,3,2,2,1,1,2,2,1
38,1,3,1,2,1,1,1,2,2,2
51,1,4,4,1,1,1,2,3,3,2
59,1,4,4,4,3,2,3,3,3,2
51,1,4,2,1,1,1,1,3,3,1
27,1,4,1,3,4,1,4,4,3,1
64,3,3,2,2,2,2,2,2,2,2
56,1,4,1,3,1,1,1,2,2,2
55,1,3,1,3,1,1,1,3,1,2
35,2,2,1,2,2,1,1,1,2,3
35,1,2,2,3,3,1,1,1,2,1
48,1,4,3,1,1,1,1,3,3,3
49,1,2,1,2,1,1,1,4,2,1
57,1,4,2,1,1,1,1,1,2,1
46,4,4,3,3,1,2,2,3,2,1
68,1,1,1,2,2,1,1,1,2,2
56,3,3,1,3,1,1,3,3,1,1
59,4,4,4,3,3,1,1,3,1,1
38,2,4,2,4,1,1,1,1,1,3
73,3,3,3,1,1,2,2,2,2,2
32,2,2,2,4,2,3,3,3,3,1
54,1,2,1,2,1,1,1,2,2,3
49,1,2,1,2,2,1,1,2,2,4
44,2,2,2,2,2,3,2,2,2,3
46,3,3,3,3,3,3,3,3,3,2
32,1,3,1,3,3,1,1,3,2,2
34,2,4,2,4,2,2,2,1,3,1
66,2,4,2,3,1,1,1,1,1,3
47,2,1,1,2,1,1,1,2,1,1
61,2,2,4,4,3,1,2,2,2,3
54,1,2,1,4,1,1,2,2,1,1
37,1,2,1,3,2,1,1,3,1,1
53,1,4,1,2,3,1,1,2,2,2
50,4,3,3,4,2,4,1,2,1,2
56,1,3,2,3,3,1,1,2,2,2
78,2,4,4,2,2,2,3,3,2,1
49,3,4,1,1,2,1,1,2,2,3
69,1,4,2,3,2,1,1,2,3,2
75,3,3,3,2,1,2,1,2,2,3
20,1,2,1,4,3,1,2,2,2,1
36,2,2,4,2,1,1,1,2,2,2
26,4,3,3,4,3,4,2,3,2,2
34,1,1,1,1,1,1,1,1,1,5
46,2,2,2,3,2,1,1,2,2,3
46,2,2,3,3,2,3,3,3,2,3
34,3,4,4,2,4,4,3,2,3,3
29,1,4,3,3,3,1,3,3,2,3
64,3,4,3,3,3,3,3,3,3,2
37,3,4,2,3,3,3,3,3,3,1
33,3,4,2,4,3,4,3,4,3,3
23,2,2,1,3,3,1,1,2,3,4
53,4,4,2,2,1,1,2,2,2,2
60,1,4,4,1,1,1,1,4,1,2
43,1,1,1,3,3,1,1,3,1,3
30,2,4,3,4,3,3,3,4,3,2
31,2,4,1,4,2,1,1,3,1,1
63,3,4,3,4,2,1,1,2,2,2
57,2,3,2,2,1,1,2,3,1,2
50,2,3,1,3,2,1,2,4,2,2
31,1,4,3,3,3,1,1,2,2,2
54,4,4,1,3,1,3,1,3,3,1
48,1,4,3,3,2,1,3,3,3,1
25,2,2,2,2,2,4,3,1,1,3
33,1,4,3,1,3,1,1,3,2,1
45,1,2,2,2,2,1,1,1,1,1
46,3,4,3,3,1,1,2,2,3,2
32,1,4,1,2,3,1,1,2,1,2
53,1,4,4,3,1,1,1,1,2,1
23,1,2,1,3,4,1,1,1,2,3
41,1,2,1,2,3,1,1,2,2,2
68,2,4,2,2,2,3,3,3,2,1
41,1,3,2,3,1,1,1,1,2,2
57,3,4,2,3,3,1,1,3,2,2
34,1,4,1,1,4,4,1,4,1,5
54,2,2,2,2,2,1,2,2,2,3
33,1,4,3,3,3,1,1,1,2,2
49,3,3,1,3,3,3,3,3,3,1
27,1,2,1,4,4,1,1,1,4,2
30,1,4,3,4,4,3,3,3,3,3
52,1,3,4,3,3,1,3,3,4,105
26,2,3,3,4,2,3,2,2,1,2
27,2,4,1,2,4,2,2,2,3,3
24,3,3,3,3,3,3,3,3,3,2
39,2,2,2,2,2,2,2,3,2,3
22,2,3,1,2,3,1,1,2,2,2
72,2,4,4,3,1,3,3,3,2,1
47,1,2,1,2,2,2,2,2,3,2
41,1,1,1,1,1,1,1,1,1,1
58,3,3,3,2,2,2,2,3,3,2
19,2,3,3,3,1,1,1,2,3,2
46,2,3,4,3,4,3,3,4,3,3
29,4,4,3,3,4,1,2,3,3,2
52,4,3,2,2,1,1,1,2,1,1
34,3,4,1,4,3,1,1,1,3,1
58,3,3,4,3,1,1,1,2,3,1
37,2,3,3,3,3,2,2,3,3,3
28,3,3,4,3,3,4,2,3,3,2
30,3,3,3,4,4,4,4,3,3,1
52,4,4,4,4,4,1,1,2,3,2
39,1,4,3,2,2,1,3,3,3,1
40,1,4,1,4,1,1,1,2,2,2
64,4,4,2,2,1,2,3,3,3,1
30,3,3,2,2,3,2,2,2,4,2
69,4,4,1,1,1,1,1,1,3,1
62,4,4,1,4,1,1,1,1,2,3
61,3,2,3,1,1,4,4,2,1,2
41,2,3,3,4,2,1,1,1,2,2
34,1,2,1,1,1,1,1,2,2,1
23,1,3,1,2,3,1,1,2,2,1
75,2,2,2,2,1,1,1,1,2,3
70,3,4,1,2,2,1,2,2,3,2
73,4,4,3,1,1,1,1,1,2,1
25,1,4,3,2,1,1,1,1,2,2
44,1,3,1,1,2,1,1,2,2,2
43,4,4,3,3,3,1,1,3,3,3
46,2,3,3,3,2,1,1,1,3,2
41,1,1,1,3,3,1,1,1,2,4
59,1,3,1,4,1,1,1,1,1,1
35,4,4,3,3,4,3,3,3,2,3
32,1,1,1,1,1,1,1,1,2,3
40,2,4,4,4,2,1,2,2,3,2
47,1,2,2,2,3,1,1,3,3,2
26,4,4,3,3,4,4,3,2,3,3
59,1,3,2,1,1,1,1,2,1,1
57,4,4,1,2,1,3,3,3,2,2
68,4,4,3,2,2,3,3,3,3,2
67,3,4,3,2,2,2,2,2,3,1
33,3,3,3,3,3,3,3,3,3,2
33,3,3,4,3,4,4,3,3,3,3
34,1,2,2,4,1,1,1,2,2,3
40,2,3,4,4,4,1,1,3,2,1
57,1,4,3,3,1,1,1,2,2,2
26,1,4,1,2,2,1,1,1,2,2
23,3,3,2,2,1,1,1,2,1,2
43,2,2,2,4,2,4,4,2,4,1
32,3,2,3,2,3,3,3,2,2,1
53,1,3,1,1,1,1,1,2,1,1
73,1,4,1,3,1,3,3,3,3,1
60,2,4,1,1,1,1,1,1,2,2
64,4,4,3,2,1,1,1,2,2,2
37,2,2,3,3,2,3,3,2,2,1
63,2,4,1,2,1,1,1,1,1,2
33,1,3,1,3,2,1,2,2,2,1
55,1,4,3,4,1,1,1,3,2,3
64,2,3,3,3,1,1,2,2,2,3
33,3,3,2,3,2,1,2,3,2,1
47,1,4,1,3,1,1,1,3,3,1
65,1,4,3,4,1,3,2,2,4,2
34,1,3,3,3,3,1,1,1,1,1
50,3,4,3,3,3,3,3,3,3,1
65,4,4,4,4,4,4,4,4,4,3
36,1,2,1,4,2,1,1,1,2,1
24,1,3,2,3,3,1,1,1,3,3
72,3,3,2,2,1,1,1,3,1,2
54,2,4,1,2,1,1,2,2,2,2
24,2,2,1,3,2,1,1,2,2,1
61,2,4,3,3,1,1,1,4,3,1
56,4,4,4,4,4,1,2,4,2,2
33,1,4,2,2,1,1,1,3,3,3
57,2,4,4,4,1,3,1,4,3,3
69,1,4,2,1,1,1,1,1,1,2
64,4,4,1,1,1,1,2,2,2,1
41,2,2,2,4,2,1,1,3,3,2
32,2,3,3,4,2,3,2,3,3,2
61,4,3,3,3,1,1,2,3,1,1
30,1,2,2,2,2,1,1,1,2,2
44,4,4,3,4,3,2,3,4,3,2
61,3,4,1,4,1,3,3,1,3,1
63,2,3,3,2,1,1,2,2,2,2
27,1,4,3,4,4,1,1,1,3,1
67,1,4,2,1,1,1,1,1,3,2
23,3,4,4,3,3,1,2,3,3,2
35,2,3,3,2,3,3,3,3,3,3
52,3,3,1,3,1,1,1,3,1,1
28,1,1,1,4,2,1,2,4,3,3
58,1,3,3,3,3,1,1,3,1,1
66,3,3,3,3,1,1,1,2,1,2
50,2,2,2,2,2,2,2,2,2,3
77,3,4,1,2,1,1,1,3,2,1
24,2,3,3,3,1,1,1,2,2,1
75,3,4,3,2,1,2,2,3,3,2
59,1,4,2,3,1,1,1,4,3,1
28,3,3,3,2,2,1,1,2,2,2
40,1,4,1,1,2,1,2,2,2,1
26,2,2,2,2,2,2,2,2,2,3
73,4,4,3,3,1,1,2,3,3,1
72,2,4,3,2,1,1,1,2,1,2
47,2,2,2,2,2,2,2,2,2,3
25,2,2,2,2,2,2,2,2,2,4
23,1,4,3,4,3,3,2,1,1,1
27,1,1,1,4,1,1,1,4,2,1
39,1,4,4,3,1,3,3,3,1,2
69,4,3,3,2,1,1,1,2,1,3
68,3,3,3,1,1,1,1,2,2,3
71,2,3,2,2,1,3,3,2,3,2
44,1,4,3,4,2,1,1,2,3,2
56,3,4,1,2,2,2,3,3,2,2
65,4,4,1,3,1,1,2,3,2,1
30,1,1,1,3,3,1,1,3,3,2
36,1,4,2,2,2,1,1,1,1,2
37,2,3,2,3,4,1,1,2,2,2
34,2,4,2,3,1,1,2,1,3,1
51,4,4,4,3,2,4,4,2,4,1
44,3,4,1,1,1,1,1,3,3,2
80,4,4,4,1,1,1,1,3,1,2
54,2,4,2,4,1,1,3,3,2,1
24,4,3,3,3,3,1,1,3,3,2
48,1,3,1,1,1,1,1,1,1,2
49,2,4,3,4,3,2,1,2,4,2
48,1,4,1,2,1,1,1,2,1,1
44,2,3,3,2,2,1,2,4,3,2
56,2,4,2,1,1,1,1,3,2,3
49,1,4,2,1,1,1,1,2,2,1
29,2,4,4,3,3,1,2,2,2,2
42,1,1,1,3,3,1,1,3,1,3
63,3,4,3,3,3,2,2,4,3,2
55,2,4,1,4,2,1,1,3,2,1
33,2,2,2,2,3,1,1,1,3,2
50,1,1,1,4,3,1,3,1,3,5
51,2,4,4,2,2,4,4,4,3,1
63,4,4,1,3,2,1,4,4,2,1
70,4,3,3,3,3,3,3,3,3,3
39,2,2,2,2,2,1,1,1,1,2
73,3,4,3,2,1,1,1,2,2,1
40,1,4,1,3,2,1,1,4,3,1
38,1,3,1,1,1,1,1,1,1,3
53,3,3,1,3,3,1,3,3,3,2
28,4,2,2,4,4,1,1,4,4,2
71,3,4,3,2,2,2,1,1,3,2
47,1,4,1,2,3,1,1,2,4,3
68,3,4,2,2,1,3,1,3,1,1
68,2,3,1,4,1,1,2,4,3,2
39,3,3,2,4,4,1,2,3,3,5
74,4,4,4,1,1,1,1,1,1,2
31,1,2,1,2,1,2,3,3,2,2
62,3,4,1,4,1,1,1,1,2,1
36,1,2,1,3,2,1,1,1,2,3
31,1,4,3,2,2,1,1,3,2,1
62,2,2,1,3,1,1,1,1,3,1
50,2,4,4,2,1,1,2,2,2,1
69,3,3,1,3,1,1,1,1,2,1
41,4,4,3,3,3,1,3,3,4,1
55,1,1,3,3,1,1,1,2,2,2
66,2,2,3,3,2,1,1,1,2,3
49,1,4,2,1,1,1,1,1,4,3
66,1,4,3,1,1,3,3,3,2,1
77,3,3,2,3,1,2,2,2,4,2
73,2,3,3,3,3,2,2,2,2,4
50,2,4,1,3,1,1,1,2,2,1
58,2,4,4,2,2,2,2,1,3,2
48,1,4,2,3,1,1,1,1,1,3
81,1,4,4,3,3,3,1,2,2,1
47,2,4,2,4,1,1,1,2,2,1
34,1,3,1,4,2,1,1,1,2,1
62,1,4,3,3,3,1,2,2,2,2
66,4,4,2,2,2,1,2,2,2,2
71,3,4,1,1,1,1,1,1,1,4
54,4,4,3,4,4,3,3,2,3,2
62,1,4,1,1,1,1,1,2,2,2
49,2,3,3,4,3,1,1,3,2,2
34,1,1,3,1,1,1,1,1,3,3
37,1,1,1,4,2,1,2,3,1,2
44,1,4,1,1,1,1,1,1,1,3
39,1,4,2,3,2,1,1,4,2,1
40,1,4,3,4,3,1,1,3,3,1
47,1,4,2,4,1,1,1,4,3,2
59,4,2,2,2,1,1,1,3,2,2
77,2,3,3,2,1,4,4,3,3,2
44,2,4,1,2,1,1,1,3,2,1
39,4,4,4,4,4,1,1,1,1,4
52,2,3,3,3,2,2,2,2,2,2
76,2,4,2,2,1,1,1,1,2,2
72,3,3,3,2,1,1,1,2,3,2
45,2,2,1,2,2,1,2,2,2,2
40,1,2,1,2,2,2,2,2,2,2
34,4,4,3,4,4,3,2,4,4,1
70,4,4,1,1,1,1,1,1,1,1
61,1,4,1,1,1,1,1,1,2,2
73,2,4,1,1,1,1,1,2,2,2
61,2,4,2,3,2,1,2,4,3,2
33,2,3,2,4,2,1,1,3,2,1
68,1,3,2,4,1,1,3,2,1,2
34,4,3,3,3,2,1,3,4,4,2
55,1,4,1,1,1,1,1,1,1,1
50,3,3,2,2,1,1,1,1,1,4
69,1,4,1,3,2,1,3,4,4,1
55,1,4,4,4,1,1,4,4,1,1
54,1,4,3,2,2,1,1,2,3,4
41,1,4,2,1,2,1,1,1,2,2
75,4,4,1,2,1,1,1,1,2,1
64,1,4,1,4,2,3,1,1,2,1
39,4,4,3,4,2,1,1,3,2,2
60,3,3,2,2,1,1,1,3,1,2
51,1,4,1,1,1,1,1,1,1,3
48,2,2,2,2,2,3,3,2,2,3
68,4,1,3,2,1,1,1,2,1,2
59,1,2,1,1,1,4,4,2,1,1
70,2,3,1,2,2,1,3,4,2,2
47,2,3,1,2,1,1,2,3,2,1
61,1,3,1,4,1,1,1,1,1,1
49,4,3,1,4,1,2,1,4,4,1
44,1,3,1,3,2,1,1,2,1,2
61,4,2,3,1,1,2,1,2,2,1
53,1,1,1,1,1,1,1,1,1,3
51,1,1,1,3,1,1,1,3,3,2
70,2,4,2,4,1,1,3,3,1,1
40,2,3,1,3,1,1,2,3,2,3
58,2,3,3,3,1,1,3,3,1,2
45,1,1,2,3,1,1,1,2,2,1
59,4,4,1,3,2,1,1,2,2,1
65,3,4,3,4,4,1,2,4,3,1
26,4,1,2,2,2,1,1,2,1,1
55,1,4,2,2,1,3,3,3,3,2
48,2,1,3,2,1,1,1,1,1,1
74,4,3,2,2,3,2,2,3,2,1
32,2,4,2,3,1,1,1,1,2,2
66,3,3,3,3,3,3,3,3,3,2
60,2,2,2,1,1,1,1,1,1,1
73,2,4,1,2,1,2,1,3,2,3
51,1,1,1,4,3,1,1,2,3,5
32,3,2,2,2,2,2,2,2,2,3
62,3,3,3,2,2,1,1,3,1,1
61,2,3,2,3,3,1,1,2,2,2
53,1,2,3,2,1,1,1,3,1,3
43,2,4,3,3,1,1,3,3,2,2
27,1,4,2,3,3,1,1,3,3,2
68,3,4,3,3,2,1,2,3,3,1
22,1,4,3,3,3,1,3,3,3,2
20,1,1,1,1,1,2,3,3,1,2
33,2,2,2,2,2,1,1,1,2,2
53,3,3,2,3,3,3,4,3,3,2
69,3,4,1,4,3,1,1,3,1,1
59,3,4,1,2,1,1,1,2,2,2
33,4,4,4,4,4,4,4,4,4,2
60,1,4,4,1,1,2,1,1,1,4
53,3,3,3,3,1,1,1,1,1,3
25,1,4,1,1,4,1,1,1,2,3
58,2,1,1,2,3,1,1,4,2,1
61,2,4,3,3,1,1,2,3,3,2
63,1,3,1,3,1,2,1,4,1,2
71,3,3,2,1,1,2,1,4,1,1
44,1,1,1,1,1,1,1,1,1,3
20,2,2,1,4,4,4,4,4,4,3
30,1,3,3,3,3,1,1,1,2,3
57,1,3,3,1,1,1,1,2,1,2
57,1,4,4,4,1,1,1,1,1,3
24,2,3,3,2,2,1,1,2,2,2
61,1,3,1,3,1,1,1,2,2,2
43,3,3,2,2,2,1,1,3,1,2
32,2,3,3,3,2,4,1,4,3,4
57,3,4,1,3,1,1,3,3,3,1
68,3,3,1,3,1,1,1,1,2,2
45,1,3,4,1,1,1,3,2,1,1
60,2,3,2,1,1,1,1,2,2,2
63,2,4,2,1,1,1,1,1,1,2
49,2,3,3,3,2,1,1,2,2,2
82,2,3,1,1,1,1,1,1,3,2
52,1,2,4,4,1,1,1,1,1,1
42,3,4,2,3,1,1,1,4,3,1
43,1,3,1,3,3,1,1,3,2,1
60,2,4,3,2,1,3,3,4,3,1
59,1,4,3,3,3,3,3,3,3,3
27,2,3,2,3,3,1,2,3,3,2
60,2,4,1,1,1,1,1,2,1,2
35,1,2,1,1,2,1,1,1,1,3
51,2,3,3,2,2,1,3,2,2,2
72,3,4,2,2,1,2,1,2,1,1
58,1,4,1,2,2,1,1,1,2,1
52,1,4,4,3,3,1,1,2,4,2
72,2,4,1,2,2,1,1,3,3,2
