"age","newspapers","tv","radio","websites","socmed","doctor","healthprof","gov","famfriend","vacdistrust"
55,1,4,2,2,3,1,1,1,2,3
72,4,2,2,2,1,1,1,2,1,2
61,4,4,4,2,2,1,1,2,1,1
45,1,4,1,4,1,2,2,4,3,5
47,1,3,1,4,1,2,2,3,3,1
56,2,3,3,2,2,1,1,2,2,2
56,1,4,4,3,1,1,1,2,1,1
47,1,2,4,3,2,1,3,3,2,2
25,1,4,1,4,3,2,1,2,4,2
57,1,3,3,4,1,1,2,1,2,1
69,1,4,4,3,2,1,1,2,1,1
64,1,4,3,3,2,2,2,2,2,1
53,3,3,3,3,1,1,1,3,1,2
51,1,4,4,3,4,1,1,1,2,2
53,1,4,4,1,1,1,1,3,2,1
37,3,3,3,3,2,1,1,3,2,2
73,1,2,1,2,1,3,3,2,1,2
53,2,2,2,2,1,1,1,1,1,3
34,2,3,3,2,1,1,2,2,3,3
45,1,3,4,2,1,1,1,1,1,3
71,4,4,4,4,1,2,2,1,1,1
56,3,4,3,2,2,1,1,4,3,1
60,2,4,2,3,2,1,1,3,1,3
69,3,3,3,1,1,2,2,2,2,3
56,1,3,1,1,2,1,1,2,3,1
59,1,4,3,3,1,2,1,3,2,3
49,4,4,4,4,4,1,1,2,2,2
58,1,3,1,2,1,1,1,1,2,3
71,3,4,4,2,1,2,2,2,2,2
64,1,4,1,2,3,1,1,1,3,1
48,1,1,1,1,1,1,1,1,1,2
53,1,4,2,3,2,1,1,2,3,4
66,4,3,1,3,3,1,2,2,2,2
53,2,4,4,4,3,1,1,2,2,2
39,1,4,4,1,1,1,1,1,1,3
60,1,4,3,3,3,1,1,1,2,1
57,1,2,1,3,1,1,1,1,1,3
73,1,4,3,2,1,2,2,2,2,1
80,4,4,4,1,3,1,1,1,1,2
61,1,2,2,1,1,1,4,2,3,2
45,2,1,1,3,1,1,2,3,2,4
23,3,3,2,3,3,1,3,3,3,2
38,2,4,1,2,1,1,1,1,1,2
36,3,3,2,4,3,1,2,3,3,1
46,4,4,4,1,1,1,1,4,2,1
71,3,4,4,1,1,1,1,2,2,1
60,2,4,2,3,3,1,1,4,2,2
57,2,3,3,3,3,1,1,3,3,3
68,3,2,2,3,2,1,1,2,2,2
30,3,4,3,3,4,1,1,3,3,1
69,4,4,2,1,1,1,1,3,3,1
34,4,4,4,4,4,2,3,2,2,1
59,1,3,3,1,1,1,1,1,1,1
66,3,3,3,2,1,1,2,2,2,2
59,1,4,1,4,2,2,2,3,3,2
44,2,3,1,2,3,1,1,2,2,3
54,3,4,3,3,2,1,1,4,2,2
56,2,2,1,2,2,1,2,2,2,2
54,3,2,1,1,1,1,1,1,2,3
58,1,4,4,3,1,1,1,1,2,2
56,1,4,3,3,1,1,1,2,1,1
53,2,2,2,2,2,2,2,2,2,3
56,4,1,3,4,2,2,3,4,2,2
62,1,3,3,3,1,1,1,3,2,1
62,3,4,1,1,1,1,1,1,1,4
51,2,4,1,2,2,1,1,2,1,1
32,4,3,3,4,3,2,2,4,2,2
33,3,3,2,3,3,2,2,2,2,2
35,3,4,2,3,1,1,1,1,3,1
60,3,3,2,2,2,2,2,2,2,3
35,2,2,2,3,2,1,1,2,2,3
25,2,4,1,3,2,1,1,2,2,3
41,3,3,2,3,3,3,4,2,3,3
33,3,3,3,2,2,2,2,2,3,2
71,3,3,2,1,1,1,1,1,1,1
39,1,4,2,3,1,1,1,4,3,2
40,1,1,2,2,1,1,1,1,1,1
55,2,4,3,1,1,1,1,2,2,1
38,3,3,3,3,3,3,3,3,3,1
32,1,3,2,3,3,1,1,2,3,2
35,2,4,2,2,2,1,1,3,2,1
40,1,4,3,2,2,1,1,4,2,3
62,4,4,1,4,2,1,1,3,3,2
61,4,3,2,1,1,1,1,2,1,1
48,1,4,1,2,3,2,2,4,2,3
47,4,4,4,3,1,1,1,1,2,1
40,2,4,1,4,2,1,1,2,2,2
63,3,4,2,4,1,1,1,4,3,1
55,1,4,1,4,1,1,1,4,1,1
52,3,3,3,3,1,1,3,3,2,2
60,3,2,2,3,1,4,3,2,2,3
35,3,4,4,4,2,1,3,3,3,1
41,1,2,2,4,1,1,1,2,1,2
33,4,3,1,2,1,1,2,2,2,1
46,1,4,3,3,2,1,1,1,2,1
71,2,4,3,2,2,1,1,1,1,1
35,1,4,2,4,2,1,2,2,2,4
73,2,1,1,1,1,1,1,2,1,3
34,3,3,1,2,2,1,1,2,2,1
60,1,4,2,3,1,1,1,4,1,1
61,3,4,4,3,1,1,1,4,2,1
39,1,2,1,3,2,1,1,2,2,2
72,2,3,3,2,3,2,3,3,3,2
62,1,1,1,3,3,1,1,1,3,2
59,1,4,3,3,1,1,1,4,2,1
62,2,4,2,2,2,4,2,2,3,1
41,3,3,2,4,4,3,4,4,4,2
58,1,4,1,4,1,1,1,1,1,2
26,1,2,1,2,2,1,2,2,2,2
51,2,2,2,1,1,1,1,2,1,3
42,1,3,1,4,1,1,1,2,1,1
53,1,4,1,3,1,1,1,3,2,2
71,3,4,1,2,1,1,1,3,1,2
58,3,3,3,2,1,1,1,2,1,3
28,2,2,2,2,2,2,2,2,2,2
62,2,3,1,1,1,1,1,2,1,3
55,1,4,1,3,1,1,1,1,2,4
39,3,2,3,3,4,4,3,3,2,3
69,1,4,1,3,1,1,3,4,2,2
41,2,4,2,2,4,1,1,1,1,2
47,2,2,2,3,4,2,2,4,3,5
63,3,4,3,3,3,1,3,3,3,1
45,2,4,3,3,1,2,2,3,3,2
64,2,4,3,4,2,1,1,1,3,2
63,3,4,2,4,1,1,1,2,1,2
60,1,4,1,2,1,1,1,3,2,2
83,4,3,3,2,1,1,1,2,1,2
35,3,1,1,2,1,3,3,3,3,2
43,3,3,3,3,3,3,3,3,3,3
46,2,2,2,4,2,1,1,2,4,2
35,2,2,2,2,1,1,2,2,2,5
72,4,4,4,3,2,3,1,2,2,1
75,4,4,3,4,1,1,1,3,3,1
56,1,4,1,4,2,1,1,1,1,3
71,1,4,4,4,1,1,1,4,3,4
43,3,3,1,2,1,1,1,2,2,4
64,1,4,2,1,1,1,1,2,1,1
54,2,1,4,3,2,1,2,2,3,2
62,4,4,3,2,1,1,1,2,3,3
57,2,4,2,3,3,1,2,3,2,2
55,1,3,2,1,1,1,1,1,1,3
69,1,4,3,4,1,1,1,1,1,2
62,4,4,1,3,2,1,1,2,2,1
45,4,4,3,3,2,1,1,2,2,2
53,2,3,3,3,1,1,1,2,2,5
66,3,4,2,2,2,1,2,2,2,2
54,3,3,4,3,2,3,1,2,2,1
50,1,3,1,1,2,1,1,1,1,2
67,1,3,3,1,1,3,1,1,1,3
63,2,4,2,1,3,1,4,4,1,2
43,4,4,1,4,1,1,1,1,2,1
45,2,4,1,2,2,2,1,2,2,2
40,1,2,1,3,1,2,2,2,1,2
49,1,1,2,2,2,2,2,2,2,3
73,4,2,1,1,1,1,1,1,1,1
49,2,4,1,3,2,1,3,3,2,2
67,1,4,2,1,1,1,1,3,2,1
65,3,3,3,3,3,1,1,3,1,1
54,3,4,3,3,3,3,3,4,3,1
57,2,3,2,4,3,3,2,2,3,2
35,1,4,2,4,4,1,1,3,2,2
28,2,2,2,2,2,1,1,1,1,2
51,1,3,3,4,1,2,2,4,2,1
65,3,4,1,2,1,1,1,3,2,1
69,3,4,2,4,3,1,1,4,3,1
60,1,4,1,4,1,1,1,1,2,2
56,1,2,2,1,1,1,1,2,2,2
65,1,4,1,3,1,1,1,1,2,2
70,3,4,3,3,2,1,1,2,1,2
59,1,2,2,1,1,1,1,1,2,2
50,2,3,3,3,1,1,1,2,1,1
50,3,4,3,2,1,1,1,3,1,1
64,3,2,2,1,1,1,1,1,1,2
55,3,4,3,3,3,2,2,3,2,2
54,4,4,1,1,1,1,1,1,2,1
61,2,4,3,3,1,1,1,3,2,2
69,1,4,1,1,1,1,1,1,2,2
50,1,4,3,3,3,1,1,2,2,2
56,1,3,3,3,3,1,1,1,3,3
72,2,2,4,3,1,1,1,3,1,2
60,2,3,2,3,3,2,2,3,3,2
69,2,4,1,2,1,3,3,2,2,1
52,3,4,4,3,1,1,1,1,2,1
55,3,4,3,3,1,1,1,1,3,2
59,1,4,4,1,1,3,1,4,1,2
48,2,2,3,3,2,2,2,2,2,2
45,3,2,1,2,1,1,1,2,2,4
59,1,4,3,3,1,1,3,4,3,2
58,4,4,1,1,1,1,1,3,2,2
79,1,4,1,4,1,1,1,1,1,1
59,1,3,1,2,2,1,1,1,1,3
38,2,3,2,2,3,3,3,2,2,2
74,4,4,2,2,1,1,1,1,2,1
67,2,4,1,2,1,1,1,2,1,2
64,2,3,3,1,1,1,1,1,1,1
42,3,4,3,3,3,4,3,3,3,3
77,3,4,3,3,2,1,1,1,2,1
52,3,4,4,4,1,1,1,3,3,1
76,4,4,2,2,3,2,3,2,3,2
49,2,4,2,2,2,1,1,3,2,2
21,4,4,1,4,2,1,1,3,2,1
22,1,4,1,2,2,1,1,1,3,2
26,2,4,4,3,3,3,3,4,3,4
22,3,3,2,3,3,1,1,1,2,2
21,1,2,2,3,3,1,1,1,3,4
75,4,4,3,2,1,1,1,3,3,1
52,2,4,4,4,2,3,1,3,2,1
53,2,4,1,3,1,1,1,1,1,1
50,4,4,4,3,2,1,1,3,2,5
19,3,3,3,2,2,2,3,2,2,4
55,3,4,1,3,1,1,1,2,2,3
23,1,4,2,1,2,1,1,1,1,2
49,4,2,2,3,1,2,1,3,2,2
71,2,4,4,2,1,1,2,2,4,2
58,2,4,2,4,4,3,3,3,4,2
71,2,4,2,2,1,1,1,1,1,3
70,2,3,2,1,1,1,2,3,3,1
54,1,4,2,1,2,3,1,3,2,1
71,2,1,1,4,3,1,1,1,2,2
24,3,3,2,2,3,3,3,3,4,2
73,3,3,1,1,1,3,1,3,2,2
38,1,4,4,3,3,1,1,4,2,2
64,1,3,1,3,3,3,3,4,2,2
36,1,1,2,4,3,2,2,3,2,2
47,3,3,3,1,1,1,3,3,3,2
37,2,3,2,3,3,1,1,2,2,2
44,1,4,1,3,3,1,1,3,3,2
31,1,3,1,2,1,1,1,1,2,2
27,2,2,1,2,1,1,1,2,2,1
56,2,1,1,3,2,1,1,2,2,5
59,1,4,3,2,1,1,1,2,1,2
43,3,3,3,3,3,3,3,3,3,3
40,3,4,3,4,3,2,2,3,2,2
51,2,1,2,1,3,2,3,1,3,3
52,2,4,3,3,3,1,2,2,2,3
67,1,4,1,2,1,1,1,1,1,2
49,3,4,1,2,1,1,1,1,2,1
63,1,3,2,2,1,1,1,3,3,2
58,3,4,1,2,1,1,1,1,2,2
41,1,4,3,3,4,3,4,2,4,2
62,1,2,1,1,2,2,2,3,1,3
54,2,3,1,2,1,1,3,2,2,3
39,2,2,2,2,1,2,3,2,2,3
30,4,4,2,4,3,2,2,4,2,1
45,3,3,3,2,3,2,2,2,1,5
32,3,3,2,4,4,1,2,4,3,3
50,3,3,3,4,2,1,2,3,2,2
57,3,4,2,3,3,1,1,3,2,2
73,3,4,4,4,2,1,1,3,1,1
34,1,4,1,3,3,1,1,2,2,3
76,3,3,3,1,1,1,1,3,2,1
49,1,4,1,1,1,2,1,1,1,1
35,3,4,4,4,3,2,4,4,4,2
55,1,2,3,4,4,4,3,3,3,3
57,1,4,1,1,1,1,2,2,1,2
38,1,3,3,2,1,4,4,3,4,3
33,1,1,1,4,2,1,1,1,1,2
65,2,3,3,2,1,1,1,2,1,2
45,4,4,4,2,1,1,1,1,2,1
70,2,4,1,2,1,1,1,2,1,1
31,3,3,3,3,3,3,3,2,3,2
46,3,3,1,1,1,1,4,2,2,2
63,2,3,2,2,2,1,1,2,2,3
42,4,3,1,3,1,1,1,1,2,3
24,3,3,3,3,3,3,3,3,3,2
55,3,3,4,4,1,3,4,4,3,2
34,4,1,4,1,1,4,4,1,1,1
48,2,4,4,3,2,1,3,3,2,1
24,1,2,2,3,3,1,1,1,2,3
57,1,2,1,1,1,1,1,1,1,2
24,2,2,2,2,2,2,2,2,2,4
67,4,4,3,2,1,1,1,2,1,3
43,3,2,3,3,2,3,2,3,2,2
35,3,1,2,2,1,1,1,1,1,3
64,3,3,2,3,2,1,1,3,3,1
30,1,3,1,2,2,2,3,3,3,3
35,2,4,4,4,4,4,4,4,4,1
25,2,3,4,4,2,2,4,3,3,4
51,1,1,1,2,1,1,1,1,1,3
67,4,4,4,3,1,3,3,3,1,3
65,2,4,2,4,1,3,3,3,2,2
59,1,4,2,1,1,1,1,1,1,1
48,1,4,3,3,2,1,1,1,2,3
28,1,4,2,3,2,1,1,1,2,2
39,1,3,1,3,3,1,3,3,2,2
52,1,4,1,1,1,1,1,1,1,1
44,3,4,3,3,4,2,3,4,3,2
35,2,4,3,4,3,1,1,3,3,3
26,2,2,1,1,2,1,2,3,1,2
69,3,3,3,3,1,1,1,1,2,1
23,3,4,2,3,3,2,2,3,3,2
30,2,3,1,2,1,1,1,2,2,1
72,3,4,2,2,1,1,1,2,1,1
71,3,3,4,3,1,1,1,1,3,2
66,3,3,1,1,3,1,1,1,2,2
69,1,3,3,1,1,3,2,2,2,2
79,1,4,2,1,3,1,1,3,3,1
34,1,3,3,1,1,1,1,1,1,3
56,1,4,1,2,2,2,1,2,2,2
39,2,4,4,4,4,1,2,2,3,3
42,3,4,3,2,1,1,1,2,2,1
36,1,3,1,4,1,1,1,1,1,1
37,2,3,3,3,2,3,3,3,3,1
32,2,2,2,2,3,3,3,3,3,2
32,4,4,1,1,1,1,1,1,1,3
66,3,3,1,1,2,1,1,1,1,2
43,4,4,4,2,1,2,1,4,1,3
30,1,1,1,2,3,2,1,2,3,5
52,4,3,2,4,1,1,1,2,2,1
38,2,2,2,3,2,3,1,2,3,3
32,2,2,2,2,2,2,2,2,2,3
31,2,3,3,2,3,1,2,1,1,2
46,1,4,1,1,1,1,1,1,1,2
54,2,4,3,2,2,1,1,2,3,2
34,3,4,3,4,3,3,3,3,3,2
19,4,4,4,4,4,4,4,4,3,1
35,4,4,4,4,2,1,2,3,2,4
50,1,3,2,4,1,1,2,3,1,3
25,2,3,3,3,2,3,3,3,2,1
64,3,4,4,4,3,1,2,3,1,1
18,1,3,1,2,2,1,1,2,1,3
45,2,2,2,2,3,3,2,2,3,3
32,1,4,3,3,3,1,2,2,2,3
50,4,4,3,3,3,1,2,2,2,2
67,2,3,1,1,1,1,1,3,1,2
56,2,4,2,2,1,1,1,2,2,2
52,1,4,1,1,1,1,1,1,1,3
36,3,3,3,3,3,2,2,4,3,2
24,2,2,2,3,3,2,2,2,2,3
19,2,2,2,2,2,1,1,3,3,3
46,4,4,3,4,2,1,1,4,2,1
32,2,2,2,3,2,1,2,2,2,2
33,1,3,1,2,3,1,1,3,2,2
63,2,4,1,2,2,1,1,1,1,3
44,2,2,1,1,1,1,1,2,1,2
51,1,4,3,4,3,2,2,3,2,1
57,1,4,3,4,1,1,3,4,1,1
18,1,4,4,4,3,2,2,3,3,1
51,1,2,1,3,1,3,2,2,3,2
67,2,4,4,3,1,1,1,2,2,2
60,1,4,1,4,4,1,1,4,2,3
51,4,4,4,3,2,1,3,3,2,1
58,4,4,4,3,1,1,1,2,3,2
58,1,4,2,4,4,1,1,2,2,2
28,1,4,4,4,4,1,3,4,4,2
66,1,4,1,3,1,1,1,2,1,1
20,1,2,2,1,3,1,1,2,3,1
20,1,3,1,3,1,1,1,1,4,1
35,2,3,2,1,1,2,2,3,2,2
53,3,3,2,4,2,1,1,2,2,2
29,1,4,3,3,4,1,1,1,4,2
35,3,3,4,3,3,3,3,3,3,3
31,2,3,2,3,3,3,2,2,3,2
52,2,2,3,3,2,1,1,2,2,2
60,2,4,4,4,2,2,3,3,3,2
52,1,4,3,2,1,1,1,1,1,2
72,1,4,1,1,1,1,1,1,2,3
29,2,3,3,4,2,1,1,4,3,2
34,1,4,1,4,3,1,1,1,2,3
24,2,4,2,1,1,1,1,2,2,1
34,1,4,3,3,4,1,3,3,2,2
40,1,3,1,4,3,1,1,1,1,3
73,3,4,3,4,1,1,3,3,1,105
24,1,2,1,3,2,1,1,1,2,3
47,2,4,2,3,3,2,2,3,3,3
46,3,4,1,3,3,1,2,3,3,1
65,1,4,1,3,3,1,1,3,2,2
19,4,4,4,4,4,1,1,3,1,2
37,4,2,2,3,1,1,1,2,1,1
32,2,3,1,2,4,1,2,3,3,3
51,3,2,3,3,3,2,3,3,3,3
23,2,4,4,1,1,1,1,4,1,2
52,4,1,4,4,1,1,1,2,3,2
40,1,4,1,4,1,1,3,3,3,1
45,3,2,3,4,2,2,4,2,4,5
31,1,4,1,4,3,1,1,2,3,4
54,1,3,1,2,2,1,1,2,1,2
42,2,2,2,2,1,2,4,4,1,1
41,4,4,4,4,4,4,4,4,4,2
45,2,3,1,3,1,3,3,3,3,2
73,3,4,2,3,3,2,2,3,2,3
64,3,4,4,3,1,1,3,3,2,4
45,2,4,2,1,1,3,3,4,2,2
63,2,4,2,4,1,1,1,4,1,1
30,3,4,4,3,3,4,3,2,2,3
49,2,3,3,3,2,1,1,2,2,2
50,3,3,2,3,3,1,1,2,2,1
46,1,4,2,4,4,1,2,4,2,1
37,4,4,4,2,1,1,1,1,1,2
36,4,4,3,4,3,4,3,3,3,1
44,1,3,1,1,1,1,2,1,2,3
64,1,1,2,4,3,1,1,3,3,2
76,3,4,1,1,1,1,1,2,1,2
67,2,4,3,3,3,3,3,3,3,2
20,3,4,3,4,4,2,2,4,2,2
48,1,4,1,3,2,1,1,3,2,2
46,3,3,1,3,1,1,1,3,3,3
66,1,4,1,2,2,2,2,4,1,2
43,2,3,3,4,1,2,2,3,2,2
53,1,4,4,4,2,1,1,1,2,2
33,1,1,1,4,4,1,1,2,2,1
28,1,1,1,3,2,1,1,2,2,1
41,2,4,2,2,1,1,1,3,2,5
34,4,4,3,4,4,2,3,4,4,2
23,3,3,3,3,3,3,3,3,3,2
64,1,3,2,2,1,1,2,2,3,2
30,3,3,3,3,2,1,3,3,3,2
25,1,3,3,4,2,1,1,2,3,1
22,1,3,1,1,3,1,1,1,3,4
19,1,2,1,3,3,1,1,1,3,2
68,4,4,3,4,1,1,1,1,3,1
59,2,3,2,4,1,1,1,2,1,1
46,1,4,1,2,2,1,2,2,2,2
36,3,4,3,2,3,3,3,2,3,1
31,1,2,2,3,3,1,1,1,1,2
24,2,2,1,1,1,1,1,1,1,3
32,4,4,3,3,3,1,1,1,3,1
25,2,3,3,3,4,1,2,3,3,2
19,4,4,1,3,4,1,1,1,4,1
20,1,4,3,3,3,1,3,3,3,2
65,1,4,1,2,2,1,2,2,1,1
54,1,3,4,2,1,1,1,2,2,3
18,3,4,2,4,4,3,3,3,4,2
65,2,3,1,1,1,1,1,2,2,5
24,1,4,3,3,1,1,1,3,3,1
24,2,4,3,2,3,1,1,2,2,2
44,2,4,3,3,2,1,1,1,2,2
23,3,2,4,2,2,4,1,3,3,3
56,2,4,1,4,2,1,1,4,3,3
52,3,4,2,4,4,1,4,4,4,2
49,4,4,4,1,1,1,1,4,2,1
53,1,4,3,1,1,1,1,2,1,2
36,1,3,3,3,3,3,2,3,2,2
54,4,4,4,3,3,1,1,1,4,1
40,1,4,1,3,2,1,1,2,2,2
21,2,3,1,3,4,1,3,3,3,4
29,2,4,3,3,3,1,1,1,3,3
28,1,1,1,3,1,1,1,1,3,1
52,1,3,3,3,1,1,1,3,1,1
24,4,4,1,1,2,1,1,2,2,1
19,3,1,2,4,2,1,1,2,2,1
28,3,4,3,3,3,1,1,3,1,1
28,4,3,2,2,2,1,1,2,3,2
22,1,2,2,3,4,1,1,1,1,2
22,3,4,1,3,3,1,1,3,4,2
25,1,2,1,4,3,1,1,2,3,2
34,2,2,2,2,3,2,3,2,3,3
64,1,2,3,4,1,1,3,4,3,2
44,3,4,3,4,4,2,3,3,3,1
29,2,3,3,3,2,2,2,2,3,4
24,2,2,2,2,2,2,3,2,2,5
49,1,4,1,2,2,2,1,3,4,2
38,4,4,3,3,3,3,3,3,4,2
31,2,4,2,2,2,1,1,4,2,1
49,3,3,2,2,1,1,1,1,2,2
53,4,4,2,1,1,1,1,3,2,2
42,1,3,3,3,2,1,2,3,2,1
36,2,4,1,4,1,1,1,3,3,3
58,3,3,2,4,4,3,2,4,3,2
41,3,4,1,4,3,1,1,2,3,2
22,1,4,1,4,3,1,1,4,2,1
40,1,2,1,4,1,1,1,2,2,2
39,2,3,2,3,2,1,1,2,1,2
23,3,4,2,2,1,1,1,1,1,2
34,1,3,2,3,3,1,1,1,3,3
30,4,4,4,2,4,4,4,4,4,3
63,2,3,1,2,1,1,1,2,1,2
18,4,4,1,3,2,1,3,3,4,2
57,2,4,3,2,1,1,4,3,2,1
19,3,3,1,3,3,1,3,3,3,1
33,3,4,3,3,3,3,4,3,3,5
